Array Type,Array,z,Root number,Previous sampling date,Current sampling date,Days since 11/04/2017,Days between sampling,Root previous length (cm),Root current length (cm),Production
Treatment,1,8,1,14/07/2017,06/09/2017,148,54,2.7834353,2.4798915,0
Treatment,1,8,1,06/09/2017,23/10/2017,195,47,2.4798915,0,0
Treatment,1,8,2,11/04/2017,08/05/2017,27,27,4.0382586,3.060436,0
Treatment,1,8,2,08/05/2017,19/06/2017,69,42,3.060436,2.3146298,0
Treatment,1,8,2,19/06/2017,14/07/2017,94,25,2.3146298,2.56277,0.004917253
Treatment,1,8,2,14/07/2017,06/09/2017,148,54,2.56277,2.2119236,0
Treatment,1,8,2,06/09/2017,23/10/2017,195,47,2.2119236,0,0
Treatment,1,9,1,08/05/2017,19/06/2017,69,42,0,4.6065736,1.347927914
Treatment,1,9,1,19/06/2017,14/07/2017,94,25,4.6065736,2.6724548,0
Treatment,1,9,1,14/07/2017,06/09/2017,148,54,2.6724548,1.8351055,0
Treatment,1,9,1,06/09/2017,23/10/2017,195,47,1.8351055,2.0654974,0.004453293
Treatment,1,9,1,23/10/2017,21/01/2018,285,90,2.0654974,2.0718231,0.000115038
Treatment,1,9,1,29/01/2018,13/03/2018,336,43,2.0718231,0,0
Treatment,1,9,2,19/06/2017,14/07/2017,94,25,0,1.609285,0.119003152
Treatment,1,9,2,14/07/2017,06/09/2017,148,54,1.609285,1.6606694,6.47E-05
Treatment,1,9,2,06/09/2017,29/01/2018,293,145,1.6606694,0.99831456,0
Treatment,1,9,2,29/01/2018,13/03/2018,336,43,0.99831456,0,0
Treatment,1,9,3,19/06/2017,14/07/2017,94,25,0,2.21982,0.192514528
Treatment,1,9,3,14/07/2017,06/09/2017,148,54,2.21982,1.6388712,0
Treatment,1,9,3,06/09/2017,23/10/2017,195,47,1.6388712,1.8865775,0.002491554
Treatment,1,9,3,23/10/2017,21/01/2018,285,90,1.8865775,0,0
Treatment,1,9,4,06/09/2017,23/10/2017,195,47,0,1.1252009,0.086858799
Treatment,1,9,4,23/10/2017,15/11/2017,218,23,1.1252009,0,0
Treatment,1,9,5,06/09/2017,23/10/2017,195,47,0,2.5117722,0.312815885
Treatment,1,9,5,23/10/2017,15/11/2017,218,23,2.5117722,0,0
Treatment,4,3,1,08/05/2017,05/07/2017,85,58,0,3.0620215,0.286676868
Treatment,4,3,2,08/05/2017,05/07/2017,85,58,0,1.0890243,0.10618701
Treatment,4,3,1,05/07/2017,14/07/2017,94,9,3.0620215,0,0
Treatment,4,3,2,05/07/2017,14/07/2017,94,9,1.0890243,0,0
Treatment,4,4,1,11/04/2017,08/05/2017,27,27,0.73835707,0,0
Treatment,4,4,2,11/04/2017,08/05/2017,27,27,0.5374403,0,0
Treatment,4,5,1,11/04/2017,08/05/2017,27,27,2.6932828,0,0
Treatment,4,5,2,11/04/2017,08/05/2017,27,27,1.9503431,0,0
Treatment,4,6,1,11/04/2017,08/05/2017,27,27,0,3.8384345,0.330773124
Treatment,4,6,1,08/05/2017,05/07/2017,85,58,3.8384345,0,0
Treatment,4,8,1,11/04/2017,08/05/2017,27,27,0,1.410466,0.126390095
Treatment,4,8,1,08/05/2017,05/07/2017,85,58,1.410466,0,0
Treatment,4,8,2,11/04/2017,08/05/2017,27,27,0,0.9199866,0.107175079
Treatment,4,8,2,08/05/2017,05/07/2017,85,58,0.9199866,0,0
Treatment,4,9,1,08/05/2017,05/07/2017,85,58,0,2.5104144,0.41912719
Treatment,4,9,1,05/07/2017,14/07/2017,94,9,2.5104144,0,0
Treatment,4,10,1,08/05/2017,05/07/2017,85,58,0,2.6691992,1.160551454
Treatment,4,10,1,05/07/2017,14/07/2017,94,9,2.6691992,0,0
Control,2,1,1,21/06/2017,14/07/2017,94,23,0,2.370941,0.722384927
Control,2,1,2,21/06/2017,14/07/2017,94,23,0,1.0863712,0.07036158
Control,2,1,1,14/07/2017,05/09/2017,147,53,2.370941,4.275227,0.002385319
Control,2,1,2,14/07/2017,05/09/2017,147,53,1.0863712,2.071103,0.041530437
Control,2,1,3,14/07/2017,05/09/2017,147,53,0,0.97299725,0.150832399
Control,2,1,4,14/07/2017,05/09/2017,147,53,0,1.9410783,0.126002379
Control,2,1,1,05/09/2017,01/11/2017,204,57,4.275227,4.459333,0.003995918
Control,2,1,2,05/09/2017,01/11/2017,204,57,2.071103,1.5067183,0
Control,2,1,3,05/09/2017,01/11/2017,204,57,0.97299725,0,0
